App no.	RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
WT 13-14 262	Professor David J Owen	Clinical Biochemistry	Elsevier	Developmental Cell	VARP is recruited on to endosomes by direct interaction with retromer, where together they function to export to the cell surface	SG 834366	£3,656.34	31-Jul-14	31-Jul-14	y
WT 13-14 263	Dr Eric Miska	Gurdon Institute	Company of Biologists	Development	piRNAs: from biogenesis to function	PR 835373	£3,000.00	31-Jul-14	31-Jul-14	y
WT 13-14 264	Dr Shona Wilson	Pathology	Oxford University Press	Journal of Infectious Diseases	Human Schistosoma haematobium anti-fecundity immunity is dependent on transmission intensity and associated with immunoglobulin G1 to worm-derived antigens	PK 835834	£2,625.60	31-Jul-14	31-Jul-14	y
WT 13-14 265	Dr Frank Waldron-Lynch	Medical Genetics	BMJ Publishing Group	BMJ Open	Rationale and study design of the adaptive study of IL-2 on regulatory T cells in type 1 diabetes (DILT1D): a non randomised, open label, adaptive dose finding trial	SE 835886	£810.00	31-Jul-14	31-Jul-14	y
WT 13-14 266	Dr Linda Wicker	Medical Genetics	American Association of Immunologists	Journal of Immunology	Investigation of soluble and transmembrane CTLA-4 isoforms in serum and microvesicles	SE 835886	£1,782.00	31-Jul-14	31-Jul-14	y
WT 13-14 267	Dr John Todd	Medical Genetics	Wiley	Clinical and Experimental Immunology	Multi-parametric flow cytometric and genetic investigation of the peripheral B-cell compartment in human type 1 diabetes	SE 835886	£1,426.79	31-Jul-14	31-Jul-14	y
WT 13-14 268	Dr Anthony Davenport	Medicine	wiley	British Journal of Pharmacology	Endothelin@25 – new agonists, antagonists, inhibitors and emerging research frontiers	5090128	£2,126.40	22-Aug-14	22-Aug-14	y
WT 13-14 274	Dr Benedicte Sanson	Physiology, Development and Neuroscience	The Company of Biologists	Development	"Subcellular localisations of the CPTI
collection of YFP-tagged proteins in
Drosophila embryos"	PM 843431	£3,000.00	27-Aug-14	30-Sep-14	y
WT 13-14 275	Dr Mark Carrington	Biochemistry	Public Library of Science	PLoS One	Depletion of the RNA-binding protein RBP33 results in increased expression of RNA polymerase II transcripts in .Trypanosoma brucei	PH 839269	£976.73	04-Sep-14	09-Sep-14	y
WT 13-14 276	Professor Daniel St Johnston	Gurdon Institute	Company of Biologists	Development	Analysis of the expression patterns, subcellular localisations and interaction partners of Drosphila proteins using a plgP protein trap library	PR 837771	£3,000.00	28-Aug-14	28-Aug-14	y
WT 13-14 279	Professor Jum Kaufman	Pathology	wiley	Immunology	Immunology of naturally transmissible tumours	PK 839667	£2,186.19	10-Sep-14	18-Sep-14	y
WT 13-14 280	Professor Ian Goodfellow	Pathology	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Norovirus translation requires an interaction between the C terminus of the genome-linked viral protein VPg and eukaryotic translation initiation factor 4G	VE 839394	£759.65	10-Sep-14	10-Sep-14	y
WT 13-14 281	Dr Tamsin O'Connell	Institute of Public Health	BioMed Central	BMC Public Health	Severity of injuries in different modes of transport, expressed with disability-adjusted life years (DALYs) 	VE 839377	£564.60	10-Sep-14	10-Sep-14	y
WT 13-14 282	Professor Colin Taylor	Pharmacology	Portland Press	Biochemical Journal	Red flourescent genetically encoded Ca2+ indicators for use in mitochondria and endoplasmic reticulum	PL 839481	£2,100.00	10-Sep-14	10-Sep-14	y
WT 13-14 283	Professor Sir John Gurdon	Gurdon Institute	MDPI	International Journal of Molecular Sciences	Sperm and spermatids are composed of different proteins and bind distinct egg proteins	PR 841578	£1,279.74	18-Sep-14	01-Oct-14	y
WT 13-14 284	Dr Stephen Burgess	Public Health and Primary Care	Public Library of Science	PLoS One	Using factorial Mendelian randomization to disentangle the causal effects of lipid fractions	RH 840830 and RH 841088	£978.97	23-Sep-14	23-Sep-14	y
WT 13-14 285	Dr Elizabeth Brown	Institute of Metabolic Science	BMJ Publishing Group	BMJ Open	Family-based Interventions to Increase Physical Activity in Children: A Meta-Analysis and Realist Synthesis Protocol	VE 841521	£324.00	30-Sep-14	30-Sep-14	y
WT 13-14 286	Dr Steve Eglen	Applied Mathematics and Theoretical Physics	Society for Neuroscience	Journal of Neuroscience	Detecting pairwise correlations in spike trains: an objective comparison of methods and application to the study of retinal waves	VE 841518	£1,202.90	30-Sep-14	30-Sep-14	y
WT 13-14 287	Professor David Klenerman	Chemistry	Wiley	ChemBioChem	Single-molecule Imaging Reveals that Small Amyloid-β1-42 Oligomers Interact with the Cellular Prion Protein (PrPC)	VE 841515	£1,009.77	30-Sep-14	30-Sep-14	y
WT 13-14 288	Ms Annalijn Conklin	MRC Epidemiology Unit	Elsevier	Appetite	Variety more than quantity of fruit and vegetable intake varies by socioeconomic status and financial hardship: Findings from older adults in the EPIC cohort	VE 841514	£741.52	30-Sep-14	30-Sep-14	y
WT 13-14 289	Dr Srivas Chennu	Clinical Neurosciences	Public Library of Science	PLoS Computational Biology	Spectral signatures of reorganised brain networks in disorders of consciousness	VE 841504	£1,338.62	30-Sep-14	30-Sep-14	y
WT 13-14 290	Dr Rick Livesey	Biochemistry	Oxford University Press	Human Molecular Genetics	Human stem cell models of dementia	PR 840648	£2,100.00	30-Sep-14	30-Sep-14	y
WT 13-14 291	Dr David Franklin	Engineering	American Physiological Society	Journal of Neurophysiology	Fractionation of the visuomotor feedback response to directions of movement and perturbation	NA 841170	£1,024.09	30-Sep-14	30-Sep-14	y
WT 13-14 292	Professor Daniel Wolpert	Engineering	Society for Neuroscience	Journal of Neuroscience	Fast but fleeting: Adaptive motor learning processes associated with aging and cognitive decline	NA 841165	£1,952.56	30-Sep-14	30-Sep-14	y
WT 13-14 299	S L Caddy	Pathology	American Society for Microbiology	Journal of Virology	Genogroup IV and VI Canine Noroviruses Interact with Histo-Blood Group Antigens	VE 843096	£738.88	30-Sep-14	30-Sep-14	y
WT 13-14 300	N A Donnelly	Psychology	Public Library of Science	PLoS One	Oscillatory activity in the medial prefrontal cortex and nucleus accumbens correlates with impulsivity and reward outcome	VE 843097	£498.74	30-Sep-14	30-Sep-14	y
WT 13-14 012	Dr Golam Khandaker	Psychiatry	Elsevier	Schizophrenia Research	A population-based study of atopic disorders and inflammator			23-Oct-13		
WT 13-14 015	Professor Chris Rudd	Pathology	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	SLP-76 sterile alpha motif (SAM) and individual H5 alpha helix mediate oligomer formation for microclusters and T-cell activation			25-Oct-13		
WT 13-14 041	Dr James Kirkbride	Psychiatry	Elsevier	Schizophrenia Research	Neighbourhood-level socio-environmental factors and incidence of first episode psychosis by place at onset in rural Ireland: the Cavan-Monaghan First Episode Psychosis Study [CAMFEPS]			28-Nov-13		
WT 13-14 042	Dr Jeanette Brodbeck	Psychiatry	Elsevier	Journal of Affective Disorders	General distress hopelessness - suicidal ideation and worrying			02-Dec-13		
WT 13-14 116	Dr Daniel Davis	Public Health and Primary Care	Oxford University Press	Age and Ageing	Validation of the 4AT, a new instrument for rapid delirium screening: a study in 234 hospitalised older people			12-Mar-14		
WT 13-14 126	Dr Steve Bevan	Neurology	American Academy of Neurology	Neurology	Meta-analysis in over 17,900 cases of ischemic stroke reveals a novel association at 12q24.12			01-Apr-14		
WT 13-14 127	Dr Kate Lachowycz	Institute of Public Health	Elsevier	Social Science and Medicine	Does walking explain associations between access to greenspace and lower mortality?			07-Apr-14		
WT 13-14 133	Dr Stephen Burgess	Public Health and Primary Care	Lippincott, Williams & Wilkins	Epidemiology	Instrument variable analysis with a non-linear exposure--outcome relationship			18-Apr-14		
WT 13-14 176	Dr Marcus Bischoff	Zoology	The Company of Biologists	Journal of Cell Sciences	The conserved transmembrane proteoglycan Perdido/Kon-tiki is essential for myofibrillogenesis and sarcomeric structure in Drosophila			21-May-14		
WT 13-14 182	Professor Guy Brown	Biochemistry	Elsevier	FEBS Letters	Tumour necrosis factor alpha-induced neuronal loss is mediated by microglial phagocytosis			06-Jun-14		
WT 13-14 192	Dr Gillian Fraser	Pathology	Elsevier	Trends in Microbiology	Building a flagellum outside the bacterial cell			16-Jun-14		
WT 13-14 212	Dr Andrew Firth	Pathology	Elsevier	Virology	Novel flaviviruses from mosquitoes: Mosquito-specific evolutionary lineages within the phylogenetic group of mosquito-borne flaviviruses			03-Jul-14		
WT 13-14 215	Dr Ahmed Dahir Mohamed	Psychiatry	Wiley	Cognitive Science	Neuroethical issues in pharmacological cognitive enhancement			14-Jul-14		
WT 13-14 216	Professor Andrea Brand	Gurdon Institute	Wiley	Diabetes, Obesity and Metabolism	Control of brain development and homeostasis by local and systemic insulin signalling			30-Jun-14	30-Jun-14	
WT 13-14 217	Professor Ismaa Sadaq Farooqi	Clinical Biochemistry	Elsevier	Molecular Genetics and Metabolism	Severe obesity and diabetes insipidus in a patient with PCSK1 deficiency			16-Jul-14		
WT 13-14 218	Professor Ismaa Sadaq Farooqi	Clinical Biochemistry	Elsevier	Cell	KSR2 mutations are associated with obesity, insulin resistance, and impaired cellular fuel oxidation			16-Jul-14		
WT 13-14 219	Professor Ismaa Sadaq Farooqi	Clinical Biochemistry	Wiley	Human Mutation	A homozygous mutation in the TUB gene associated with retinal dystrophy and obesity			16-Jul-14		
WT 13-14 240	Dr Nicholas Walsh	Psychiatry	Elsevier	Neuroimage: Clinical	The general and specific effects of early-life psychological adversities on adolescent grey matter volume			08-Aug-14		
WT 13-14 241	Professor Paul Fetcher	Psychiatry	Wiley	Obesity Reviews	Is food addiction a valid and useful concept?			08-Aug-14		
WT 13-14 242	Dr James Kirkbride	Psychiatry	BMJ Publishing Group	BMJ Open	A population-level prediction tool for the incidence of first-episode psychosis: translational epidemiology based on cross-sectional data			08-Aug-14		
WT 13-14 269	Mr Adam Marton	Institute of Public Health	Elsevier	Preventative Medicine	"Does active commuting improve psychological wellbeing? Longitudinal evidence from eighteen
waves of the British Household Panel Survey"			13-Aug-14		
WT 13-14 270	Professor Ismaa Sadaq Farooqi	Clinical Biochemistry	The Endocrine Society	Endocrinology	Functional characterisation of obestiy-associated variants involving the alpha and beta isoforms of human SH2B1			19-Aug-14		
WT 13-14 271	Dr Tom Monie	Veterinary Medicine	Elsevier	FEBS Letters	Blau Syndrome polymorphisms in NOD2 identify nucleotide hydrolysis and Helical Domain 1 as signalling regulators			22-Aug-14		
WT 13-14 272	Dr Jack E Green	Zoology	Elsevier	Developmental Biology	Germ cells of the centipede Strigamia maritima are specified early in embryonic development			24-Aug-14		
WT 13-14 273	Professor Krishna Chatterjee	Institute of Metabolic Science	The Endocrine Society	Journal of Clinical Endocrinology and Metabolism	A novel albumin gene mutation (R222I) in familial dysalbuminaemic hyperthyroxinaemia			27-Aug-14		
WT 13-14 277	Dr William Stauffer	Physiology, Development and Neuroscience	Elsevier	Current Biology	Dopamine reward prediction error responses reflect marginal utility			08-Sep-14		
WT 13-14 278	Dr Markus Ralser	Biochemistry	wiley	Biological Reviews	The return of metabolism: Biochemistry and Physiology of the Pentose Phosphate Pathway			10-Sep-14		
WT 13-14 293	Professor Austin Smith	Stem Cell Institute	Elsevier	Cell	Resetting transcription factor control circuitry towards ground state pluripotency in human			30-Sep-14		
WT 13-14 294	Dr Bertie Gottgens	Stem Cell Institute	Company of Biologists	Development	Single cell analyses of regulatory network perturbations using enhancer targeting TAL Effectors suggest novel roles for PU.1 during haematopoietic specification			30-Sep-14		
WT 13-14 295	Dr Michaela Frye	Stem Cell Institute	Wiley	EMBO Journal	Aberrant methylation of tRNAs links cellular stress to neuro-developmental disorders			30-Sep-14		
WT 13-14 296	Professor Helen Skaer	Zoology	Elsevier	Seminars in Cell and Developmental Biology	Tip cell: master regulators of tubulogenesis?			30-Sep-14		
WT 13-14 297	Professor Helen Skaer	Zoology	Company of Biologists	Development	The tiptop/teashirt genes regulate cell differentiation and renal physiology in Drosophila			30-Sep-14		
WT 13-14 298	Professor Helen Skaer	Zoology	Elsevier	Developmental Cell	Tip cells act as dynamic cellular anchors in the morphogenesis of looped renal tubules in Drosophila 			30-Sep-14		
WT 13-14 301	Professor Ian Goodfellow	Pathology	American Society for Microbiology	Journal of Virology	Sapovirus Translation Requires an Interaction Between VPg and the Cap Binding Protein eIF4E 		£2,236.55	30-Sep-14	30-Sep-14	
